,1,2,3,4,5,6,7
1,5.0,1.0,3.0,4.0,2.0,7.0,6.0
1,5.0,6.0,2.0,3.0,4.0,1.0,7.0
1,5.0,1.0,6.0,2.0,4.0,3.0,7.0
1,5.0,1.0,4.0,3.0,7.0,2.0,6.0
1,5.0,1.0,2.0,4.0,6.0,3.0,7.0
1,5.0,2.0,6.0,1.0,4.0,7.0,3.0
1,5.0,1.0,2.0,7.0,4.0,3.0,6.0
1,5.0,1.0,2.0,6.0,4.0,3.0,7.0
1,5.0,1.0,4.0,2.0,3.0,7.0,6.0
1,5.0,1.0,4.0,7.0,6.0,2.0,3.0
1,5.0,2.0,4.0,6.0,7.0,1.0,3.0
1,5.0,1.0,2.0,6.0,4.0,3.0,7.0
1,5.0,1.0,4.0,3.0,2.0,7.0,6.0
1,5.0,2.0,1.0,6.0,4.0,3.0,7.0
1,5.0,4.0,6.0,3.0,1.0,7.0,2.0
1,5.0,2.0,1.0,4.0,3.0,6.0,7.0
1,5.0,6.0,1.0,7.0,4.0,2.0,3.0
1,5.0,6.0,1.0,2.0,4.0,7.0,3.0
1,5.0,4.0,3.0,7.0,2.0,1.0,6.0
1,5.0,6.0,1.0,3.0,2.0,7.0,4.0
1,5.0,4.0,1.0,3.0,6.0,2.0,7.0
1,5.0,6.0,2.0,4.0,3.0,1.0,7.0
1,5.0,2.0,6.0,7.0,3.0,4.0,1.0
1,5.0,2.0,1.0,6.0,7.0,3.0,4.0
1,5.0,1.0,2.0,6.0,4.0,3.0,7.0
1,5.0,2.0,6.0,1.0,4.0,3.0,7.0
1,5.0,1.0,4.0,2.0,3.0,7.0,6.0
1,5.0,2.0,1.0,4.0,6.0,7.0,3.0
1,5.0,1.0,6.0,4.0,7.0,3.0,2.0
1,5.0,1.0,4.0,7.0,3.0,2.0,6.0
2,2.0,4.0,3.0,7.0,5.0,1.0,6.0
2,2.0,1.0,5.0,7.0,6.0,3.0,4.0
2,2.0,3.0,5.0,6.0,4.0,7.0,1.0
2,2.0,5.0,1.0,3.0,7.0,4.0,6.0
2,2.0,7.0,5.0,3.0,4.0,6.0,1.0
2,2.0,5.0,6.0,3.0,1.0,4.0,7.0
2,2.0,6.0,3.0,1.0,4.0,5.0,7.0
2,2.0,1.0,5.0,3.0,4.0,7.0,6.0
2,2.0,3.0,4.0,6.0,1.0,7.0,5.0
2,2.0,4.0,3.0,1.0,7.0,5.0,6.0
2,2.0,6.0,4.0,7.0,5.0,1.0,3.0
2,2.0,4.0,3.0,7.0,5.0,6.0,1.0
2,2.0,5.0,3.0,6.0,1.0,7.0,4.0
2,2.0,5.0,1.0,3.0,7.0,4.0,6.0
2,2.0,5.0,6.0,7.0,3.0,1.0,4.0
2,2.0,5.0,1.0,6.0,7.0,4.0,3.0
2,2.0,3.0,1.0,6.0,5.0,4.0,7.0
2,2.0,5.0,6.0,7.0,3.0,1.0,4.0
2,2.0,1.0,5.0,7.0,4.0,3.0,6.0
2,2.0,1.0,5.0,7.0,6.0,3.0,4.0
2,2.0,1.0,5.0,3.0,4.0,7.0,6.0
2,2.0,6.0,5.0,7.0,4.0,1.0,3.0
2,2.0,4.0,3.0,1.0,7.0,5.0,6.0
2,2.0,6.0,4.0,1.0,5.0,7.0,3.0
2,2.0,5.0,3.0,6.0,1.0,7.0,4.0
2,2.0,5.0,6.0,1.0,4.0,7.0,3.0
2,2.0,1.0,6.0,4.0,5.0,3.0,7.0
2,2.0,5.0,6.0,7.0,1.0,4.0,3.0
2,2.0,7.0,5.0,3.0,4.0,1.0,6.0
2,2.0,3.0,4.0,1.0,6.0,5.0,7.0
2,2.0,6.0,3.0,7.0,1.0,4.0,5.0
2,2.0,6.0,1.0,3.0,4.0,5.0,7.0
2,2.0,1.0,5.0,6.0,4.0,7.0,3.0
2,2.0,4.0,3.0,7.0,1.0,5.0,6.0
2,2.0,4.0,1.0,3.0,5.0,6.0,7.0
2,2.0,5.0,1.0,4.0,3.0,6.0,7.0
2,2.0,1.0,6.0,3.0,4.0,5.0,7.0
2,2.0,1.0,3.0,5.0,7.0,6.0,4.0
2,2.0,5.0,3.0,7.0,6.0,4.0,1.0
2,2.0,1.0,4.0,3.0,5.0,6.0,7.0
2,2.0,4.0,5.0,3.0,6.0,7.0,1.0
2,2.0,6.0,5.0,4.0,7.0,3.0,1.0
2,2.0,5.0,1.0,7.0,6.0,4.0,3.0
2,2.0,1.0,4.0,3.0,5.0,7.0,6.0
2,2.0,5.0,1.0,3.0,7.0,6.0,4.0
2,2.0,5.0,3.0,4.0,6.0,1.0,7.0
2,2.0,3.0,1.0,4.0,5.0,6.0,7.0
2,2.0,6.0,4.0,5.0,3.0,1.0,7.0
2,2.0,4.0,3.0,1.0,5.0,7.0,6.0
2,2.0,1.0,5.0,3.0,4.0,6.0,7.0
2,2.0,5.0,1.0,4.0,7.0,3.0,6.0
2,2.0,1.0,3.0,7.0,5.0,4.0,6.0
2,2.0,3.0,5.0,4.0,1.0,7.0,6.0
2,2.0,5.0,3.0,6.0,7.0,1.0,4.0
2,2.0,6.0,3.0,7.0,4.0,1.0,5.0
2,2.0,1.0,6.0,7.0,4.0,3.0,5.0
2,2.0,1.0,6.0,7.0,5.0,4.0,3.0
2,2.0,5.0,1.0,4.0,6.0,7.0,3.0
2,2.0,3.0,4.0,1.0,6.0,7.0,5.0
2,2.0,1.0,5.0,4.0,3.0,6.0,7.0
2,2.0,5.0,3.0,7.0,6.0,4.0,1.0
2,2.0,6.0,1.0,5.0,7.0,4.0,3.0
2,2.0,3.0,4.0,7.0,1.0,6.0,5.0
2,2.0,4.0,5.0,1.0,3.0,6.0,7.0
2,2.0,5.0,6.0,4.0,3.0,7.0,1.0
2,2.0,5.0,1.0,4.0,3.0,7.0,6.0
2,2.0,6.0,5.0,4.0,1.0,7.0,3.0
2,2.0,5.0,1.0,3.0,6.0,7.0,4.0
2,2.0,5.0,6.0,1.0,3.0,7.0,4.0
2,2.0,5.0,1.0,4.0,6.0,7.0,3.0
2,2.0,6.0,3.0,7.0,5.0,4.0,1.0
2,2.0,6.0,4.0,5.0,1.0,7.0,3.0
2,2.0,1.0,6.0,3.0,7.0,4.0,5.0
2,2.0,1.0,6.0,4.0,5.0,3.0,7.0
2,2.0,3.0,5.0,4.0,6.0,7.0,1.0
2,2.0,4.0,3.0,7.0,5.0,1.0,6.0
2,2.0,1.0,3.0,7.0,6.0,5.0,4.0
2,2.0,4.0,1.0,7.0,5.0,6.0,3.0
2,2.0,5.0,6.0,1.0,3.0,7.0,4.0
2,2.0,6.0,4.0,1.0,5.0,7.0,3.0
2,2.0,6.0,3.0,4.0,1.0,7.0,5.0
2,2.0,1.0,6.0,3.0,4.0,7.0,5.0
2,2.0,1.0,5.0,3.0,6.0,4.0,7.0
2,2.0,5.0,3.0,6.0,1.0,4.0,7.0
2,2.0,1.0,5.0,7.0,6.0,3.0,4.0
2,2.0,5.0,6.0,4.0,1.0,3.0,7.0
2,2.0,1.0,4.0,5.0,3.0,6.0,7.0
2,2.0,1.0,6.0,7.0,4.0,5.0,3.0
2,2.0,1.0,6.0,4.0,3.0,7.0,5.0
2,2.0,7.0,5.0,4.0,3.0,6.0,1.0
2,2.0,1.0,5.0,6.0,7.0,3.0,4.0
2,2.0,1.0,5.0,7.0,4.0,3.0,6.0
2,2.0,1.0,4.0,3.0,6.0,5.0,7.0
2,2.0,5.0,1.0,6.0,3.0,7.0,4.0
2,2.0,6.0,5.0,7.0,4.0,3.0,1.0
2,2.0,5.0,7.0,6.0,1.0,3.0,4.0
2,2.0,1.0,5.0,7.0,6.0,4.0,3.0
2,2.0,1.0,4.0,7.0,3.0,5.0,6.0
2,2.0,5.0,6.0,7.0,1.0,3.0,4.0
2,2.0,4.0,3.0,1.0,7.0,6.0,5.0
2,2.0,5.0,3.0,7.0,1.0,6.0,4.0
2,2.0,5.0,6.0,4.0,7.0,1.0,3.0
2,2.0,3.0,5.0,7.0,1.0,4.0,6.0
2,2.0,5.0,6.0,1.0,7.0,4.0,3.0
2,2.0,1.0,5.0,3.0,6.0,7.0,4.0
2,2.0,5.0,1.0,3.0,6.0,4.0,7.0
2,2.0,5.0,6.0,7.0,4.0,1.0,3.0
2,2.0,4.0,5.0,1.0,3.0,7.0,6.0
2,2.0,6.0,1.0,5.0,3.0,4.0,7.0
2,2.0,5.0,3.0,1.0,4.0,7.0,6.0
2,2.0,1.0,5.0,6.0,3.0,4.0,7.0
2,2.0,5.0,1.0,3.0,4.0,6.0,7.0
2,2.0,3.0,4.0,6.0,1.0,5.0,7.0
2,2.0,1.0,5.0,7.0,4.0,6.0,3.0
2,2.0,5.0,1.0,7.0,6.0,4.0,3.0
2,2.0,1.0,4.0,5.0,6.0,3.0,7.0
2,2.0,6.0,3.0,5.0,4.0,7.0,1.0
2,2.0,5.0,3.0,4.0,6.0,1.0,7.0
2,2.0,5.0,3.0,6.0,4.0,1.0,7.0
2,2.0,3.0,4.0,1.0,6.0,5.0,7.0
2,2.0,3.0,4.0,5.0,7.0,1.0,6.0
2,2.0,4.0,5.0,3.0,6.0,1.0,7.0
2,2.0,4.0,3.0,5.0,1.0,6.0,7.0
2,2.0,1.0,4.0,7.0,3.0,6.0,5.0
2,2.0,1.0,6.0,4.0,3.0,7.0,5.0
2,2.0,3.0,5.0,6.0,7.0,4.0,1.0
2,2.0,5.0,3.0,6.0,1.0,7.0,4.0
2,2.0,4.0,5.0,7.0,6.0,1.0,3.0
2,2.0,1.0,5.0,6.0,4.0,7.0,3.0
2,2.0,3.0,5.0,4.0,7.0,6.0,1.0
2,2.0,1.0,4.0,7.0,6.0,3.0,5.0
2,2.0,5.0,4.0,7.0,3.0,6.0,1.0
2,2.0,1.0,6.0,7.0,4.0,5.0,3.0
2,2.0,3.0,5.0,1.0,4.0,7.0,6.0
2,2.0,3.0,4.0,7.0,6.0,1.0,5.0
2,2.0,5.0,7.0,1.0,3.0,6.0,4.0
2,2.0,6.0,5.0,4.0,1.0,7.0,3.0
2,2.0,4.0,1.0,6.0,5.0,7.0,3.0
2,2.0,1.0,5.0,4.0,7.0,6.0,3.0
2,2.0,4.0,5.0,7.0,3.0,6.0,1.0
2,2.0,3.0,6.0,1.0,5.0,7.0,4.0
2,2.0,1.0,5.0,3.0,4.0,7.0,6.0
2,2.0,1.0,6.0,3.0,5.0,7.0,4.0
2,2.0,6.0,4.0,7.0,5.0,1.0,3.0
2,2.0,3.0,1.0,4.0,5.0,6.0,7.0
2,2.0,3.0,6.0,7.0,4.0,5.0,1.0
2,2.0,4.0,1.0,7.0,6.0,3.0,5.0
2,2.0,4.0,1.0,7.0,5.0,3.0,6.0
2,2.0,6.0,5.0,1.0,7.0,4.0,3.0
2,2.0,5.0,1.0,7.0,6.0,3.0,4.0
2,2.0,5.0,1.0,3.0,6.0,4.0,7.0
2,2.0,1.0,4.0,7.0,6.0,5.0,3.0
2,2.0,1.0,5.0,3.0,6.0,4.0,7.0
2,2.0,3.0,4.0,6.0,1.0,5.0,7.0
2,2.0,1.0,3.0,7.0,5.0,4.0,6.0
2,2.0,3.0,4.0,7.0,6.0,1.0,5.0
2,2.0,1.0,5.0,7.0,3.0,4.0,6.0
2,2.0,3.0,6.0,4.0,1.0,7.0,5.0
2,2.0,3.0,6.0,7.0,5.0,1.0,4.0
2,2.0,5.0,3.0,1.0,7.0,6.0,4.0
2,2.0,3.0,5.0,6.0,1.0,7.0,4.0
2,2.0,4.0,1.0,5.0,3.0,6.0,7.0
2,2.0,1.0,4.0,6.0,7.0,5.0,3.0
2,2.0,5.0,1.0,3.0,6.0,7.0,4.0
2,2.0,6.0,4.0,7.0,3.0,5.0,1.0
2,2.0,5.0,4.0,6.0,3.0,1.0,7.0
2,2.0,4.0,5.0,6.0,1.0,7.0,3.0
2,2.0,4.0,5.0,1.0,3.0,6.0,7.0
2,2.0,1.0,5.0,4.0,3.0,7.0,6.0
2,2.0,6.0,4.0,3.0,5.0,1.0,7.0
2,2.0,1.0,3.0,6.0,7.0,5.0,4.0
2,2.0,5.0,1.0,3.0,7.0,4.0,6.0
2,2.0,6.0,4.0,5.0,7.0,1.0,3.0
2,2.0,3.0,6.0,1.0,5.0,7.0,4.0
2,2.0,3.0,6.0,7.0,4.0,1.0,5.0
2,2.0,5.0,3.0,7.0,6.0,4.0,1.0
2,2.0,6.0,5.0,7.0,4.0,3.0,1.0
2,2.0,1.0,5.0,4.0,7.0,6.0,3.0
2,2.0,6.0,1.0,3.0,5.0,4.0,7.0
2,2.0,4.0,5.0,6.0,1.0,3.0,7.0
2,2.0,1.0,6.0,5.0,4.0,7.0,3.0
2,2.0,3.0,1.0,5.0,6.0,7.0,4.0
2,2.0,5.0,6.0,4.0,7.0,3.0,1.0
2,2.0,7.0,5.0,4.0,1.0,3.0,6.0
2,2.0,6.0,4.0,7.0,3.0,5.0,1.0
2,2.0,1.0,5.0,3.0,7.0,6.0,4.0
2,2.0,4.0,6.0,1.0,3.0,5.0,7.0
2,2.0,3.0,4.0,6.0,1.0,5.0,7.0
2,2.0,1.0,5.0,4.0,7.0,6.0,3.0
2,2.0,1.0,5.0,7.0,4.0,3.0,6.0
2,2.0,4.0,6.0,5.0,1.0,7.0,3.0
2,2.0,3.0,1.0,7.0,5.0,6.0,4.0
2,2.0,6.0,4.0,1.0,3.0,7.0,5.0
2,2.0,3.0,1.0,4.0,6.0,5.0,7.0
2,2.0,1.0,5.0,7.0,3.0,6.0,4.0
2,2.0,3.0,1.0,4.0,6.0,5.0,7.0
2,2.0,5.0,1.0,3.0,4.0,7.0,6.0
2,2.0,5.0,3.0,7.0,6.0,4.0,1.0
2,2.0,1.0,5.0,7.0,6.0,4.0,3.0
2,2.0,3.0,6.0,4.0,1.0,7.0,5.0
2,2.0,1.0,4.0,5.0,7.0,6.0,3.0
2,2.0,5.0,4.0,3.0,6.0,1.0,7.0
2,2.0,6.0,4.0,1.0,7.0,5.0,3.0
2,2.0,1.0,6.0,7.0,4.0,3.0,5.0
2,2.0,6.0,4.0,1.0,3.0,7.0,5.0
2,2.0,5.0,6.0,1.0,7.0,4.0,3.0
2,2.0,5.0,3.0,6.0,1.0,4.0,7.0
2,2.0,4.0,1.0,5.0,7.0,6.0,3.0
2,2.0,1.0,5.0,4.0,7.0,6.0,3.0
2,2.0,3.0,4.0,7.0,1.0,5.0,6.0
2,2.0,3.0,4.0,5.0,6.0,1.0,7.0
2,2.0,4.0,1.0,7.0,3.0,6.0,5.0
2,2.0,3.0,7.0,6.0,4.0,1.0,5.0
2,2.0,6.0,4.0,7.0,1.0,3.0,5.0
2,2.0,5.0,1.0,6.0,7.0,3.0,4.0
2,2.0,4.0,6.0,7.0,5.0,1.0,3.0
2,2.0,5.0,1.0,6.0,3.0,4.0,7.0
2,2.0,6.0,4.0,7.0,1.0,5.0,3.0
2,2.0,6.0,4.0,7.0,1.0,3.0,5.0
2,2.0,1.0,3.0,5.0,6.0,7.0,4.0
2,2.0,4.0,1.0,6.0,7.0,3.0,5.0
2,2.0,5.0,6.0,1.0,4.0,7.0,3.0
2,2.0,7.0,5.0,4.0,3.0,1.0,6.0
2,2.0,6.0,3.0,5.0,7.0,4.0,1.0
2,2.0,5.0,4.0,3.0,1.0,7.0,6.0
2,2.0,1.0,6.0,5.0,3.0,4.0,7.0
2,2.0,1.0,5.0,7.0,3.0,4.0,6.0
2,2.0,5.0,3.0,6.0,4.0,7.0,1.0
2,2.0,5.0,4.0,7.0,1.0,3.0,6.0
2,2.0,5.0,1.0,7.0,4.0,3.0,6.0
2,2.0,5.0,3.0,7.0,6.0,4.0,1.0
2,2.0,1.0,5.0,4.0,6.0,3.0,7.0
2,2.0,5.0,1.0,3.0,6.0,7.0,4.0
2,2.0,3.0,6.0,4.0,5.0,1.0,7.0
2,2.0,1.0,6.0,7.0,5.0,3.0,4.0
2,2.0,4.0,1.0,3.0,5.0,6.0,7.0
2,2.0,4.0,3.0,6.0,1.0,5.0,7.0
2,2.0,5.0,1.0,4.0,6.0,3.0,7.0
2,2.0,1.0,6.0,4.0,3.0,7.0,5.0
2,2.0,4.0,5.0,3.0,1.0,7.0,6.0
2,2.0,3.0,6.0,4.0,7.0,1.0,5.0
2,2.0,5.0,3.0,1.0,6.0,7.0,4.0
2,2.0,1.0,6.0,4.0,7.0,3.0,5.0
2,2.0,6.0,1.0,7.0,5.0,4.0,3.0
2,2.0,1.0,4.0,7.0,6.0,3.0,5.0
2,2.0,6.0,4.0,1.0,7.0,3.0,5.0
2,2.0,5.0,3.0,1.0,6.0,7.0,4.0
2,2.0,6.0,4.0,5.0,7.0,3.0,1.0
2,2.0,6.0,1.0,5.0,4.0,7.0,3.0
2,2.0,1.0,5.0,6.0,3.0,4.0,7.0
2,2.0,1.0,5.0,7.0,4.0,3.0,6.0
2,2.0,6.0,3.0,4.0,7.0,5.0,1.0
2,2.0,4.0,6.0,1.0,5.0,3.0,7.0
2,2.0,1.0,5.0,6.0,3.0,7.0,4.0
2,2.0,5.0,3.0,7.0,4.0,6.0,1.0
2,2.0,1.0,4.0,6.0,7.0,5.0,3.0
2,2.0,5.0,1.0,7.0,6.0,4.0,3.0
2,2.0,6.0,4.0,5.0,7.0,3.0,1.0
2,2.0,6.0,4.0,1.0,3.0,5.0,7.0
2,2.0,5.0,1.0,4.0,3.0,7.0,6.0
2,2.0,1.0,6.0,5.0,3.0,4.0,7.0
2,2.0,6.0,4.0,1.0,5.0,7.0,3.0
2,2.0,6.0,5.0,3.0,4.0,7.0,1.0
2,2.0,1.0,3.0,4.0,6.0,5.0,7.0
2,2.0,5.0,6.0,7.0,4.0,3.0,1.0
2,2.0,3.0,5.0,6.0,1.0,7.0,4.0
2,2.0,5.0,3.0,1.0,6.0,4.0,7.0
2,2.0,4.0,5.0,7.0,1.0,6.0,3.0
2,2.0,4.0,5.0,1.0,6.0,3.0,7.0
2,2.0,1.0,5.0,4.0,6.0,7.0,3.0
2,2.0,6.0,1.0,4.0,7.0,3.0,5.0
2,2.0,1.0,6.0,5.0,7.0,3.0,4.0
2,2.0,5.0,3.0,7.0,6.0,4.0,1.0
2,2.0,1.0,6.0,3.0,7.0,5.0,4.0
2,2.0,6.0,5.0,7.0,4.0,3.0,1.0
2,2.0,6.0,3.0,4.0,7.0,5.0,1.0
2,2.0,1.0,6.0,4.0,5.0,3.0,7.0
2,2.0,4.0,1.0,7.0,6.0,3.0,5.0
2,2.0,4.0,1.0,5.0,6.0,7.0,3.0
2,2.0,4.0,1.0,7.0,6.0,5.0,3.0
2,2.0,1.0,4.0,3.0,7.0,5.0,6.0
2,2.0,3.0,5.0,6.0,4.0,7.0,1.0
2,2.0,6.0,4.0,1.0,5.0,3.0,7.0
2,2.0,6.0,1.0,5.0,3.0,4.0,7.0
2,2.0,6.0,1.0,3.0,7.0,4.0,5.0
2,2.0,6.0,5.0,3.0,1.0,4.0,7.0
2,2.0,5.0,1.0,3.0,6.0,4.0,7.0
2,2.0,6.0,4.0,3.0,5.0,7.0,1.0
2,2.0,1.0,5.0,7.0,6.0,4.0,3.0
2,2.0,1.0,6.0,3.0,5.0,7.0,4.0
2,2.0,5.0,3.0,1.0,4.0,7.0,6.0
2,2.0,1.0,6.0,4.0,3.0,7.0,5.0
2,2.0,1.0,4.0,6.0,3.0,7.0,5.0
2,2.0,5.0,1.0,7.0,3.0,4.0,6.0
2,2.0,6.0,5.0,1.0,7.0,3.0,4.0
2,2.0,4.0,3.0,6.0,7.0,5.0,1.0
2,2.0,4.0,1.0,5.0,3.0,6.0,7.0
2,2.0,6.0,5.0,4.0,7.0,1.0,3.0
2,2.0,6.0,5.0,4.0,1.0,7.0,3.0
2,2.0,1.0,6.0,5.0,3.0,4.0,7.0
2,2.0,3.0,5.0,7.0,6.0,4.0,1.0
2,2.0,6.0,4.0,1.0,3.0,5.0,7.0
2,2.0,1.0,5.0,3.0,7.0,6.0,4.0
2,2.0,5.0,3.0,7.0,1.0,6.0,4.0
2,2.0,6.0,3.0,4.0,5.0,1.0,7.0
2,2.0,5.0,3.0,4.0,7.0,6.0,1.0
2,2.0,4.0,1.0,7.0,6.0,3.0,5.0
2,2.0,1.0,4.0,5.0,6.0,3.0,7.0
2,2.0,1.0,5.0,6.0,7.0,4.0,3.0
2,2.0,1.0,4.0,3.0,5.0,6.0,7.0
2,2.0,1.0,5.0,7.0,4.0,6.0,3.0
2,2.0,3.0,4.0,7.0,5.0,1.0,6.0
2,2.0,1.0,4.0,6.0,5.0,7.0,3.0
2,2.0,1.0,5.0,7.0,4.0,3.0,6.0
2,2.0,4.0,5.0,7.0,6.0,3.0,1.0
2,2.0,5.0,1.0,4.0,7.0,3.0,6.0
2,2.0,5.0,1.0,3.0,6.0,7.0,4.0
2,2.0,5.0,1.0,6.0,4.0,7.0,3.0
2,2.0,6.0,1.0,3.0,4.0,7.0,5.0
2,2.0,5.0,6.0,3.0,1.0,4.0,7.0
2,2.0,3.0,6.0,7.0,1.0,5.0,4.0
2,2.0,4.0,3.0,7.0,1.0,5.0,6.0
2,2.0,3.0,5.0,7.0,6.0,1.0,4.0
2,2.0,5.0,6.0,3.0,4.0,7.0,1.0
2,2.0,1.0,4.0,6.0,7.0,3.0,5.0
2,2.0,3.0,6.0,5.0,4.0,7.0,1.0
2,2.0,5.0,1.0,3.0,7.0,4.0,6.0
2,2.0,3.0,4.0,1.0,5.0,7.0,6.0
2,2.0,1.0,6.0,7.0,4.0,5.0,3.0
2,2.0,1.0,4.0,5.0,6.0,7.0,3.0
2,2.0,6.0,4.0,5.0,3.0,1.0,7.0
2,2.0,1.0,5.0,7.0,3.0,4.0,6.0
2,2.0,5.0,4.0,6.0,3.0,7.0,1.0
2,2.0,5.0,3.0,6.0,1.0,7.0,4.0
2,2.0,1.0,3.0,4.0,5.0,6.0,7.0
2,2.0,5.0,3.0,6.0,7.0,4.0,1.0
2,2.0,6.0,4.0,1.0,5.0,3.0,7.0
2,2.0,4.0,3.0,6.0,7.0,5.0,1.0
2,2.0,5.0,1.0,3.0,4.0,6.0,7.0
2,2.0,3.0,6.0,4.0,7.0,5.0,1.0
2,2.0,5.0,1.0,4.0,7.0,6.0,3.0
2,2.0,5.0,6.0,1.0,7.0,4.0,3.0
2,2.0,5.0,1.0,6.0,3.0,7.0,4.0
2,2.0,1.0,5.0,7.0,4.0,3.0,6.0
2,2.0,1.0,3.0,4.0,6.0,5.0,7.0
2,2.0,4.0,3.0,5.0,6.0,1.0,7.0
2,2.0,1.0,4.0,6.0,3.0,5.0,7.0
2,2.0,5.0,1.0,4.0,7.0,3.0,6.0
2,2.0,1.0,5.0,4.0,7.0,6.0,3.0
2,2.0,3.0,1.0,4.0,6.0,5.0,7.0
2,2.0,5.0,4.0,6.0,3.0,1.0,7.0
2,2.0,6.0,5.0,3.0,7.0,1.0,4.0
2,2.0,3.0,4.0,6.0,7.0,1.0,5.0
2,2.0,5.0,1.0,6.0,4.0,7.0,3.0
2,2.0,5.0,1.0,7.0,6.0,4.0,3.0
2,2.0,3.0,1.0,7.0,5.0,4.0,6.0
2,2.0,1.0,5.0,4.0,7.0,3.0,6.0
2,2.0,6.0,5.0,1.0,3.0,7.0,4.0
2,2.0,1.0,6.0,3.0,7.0,4.0,5.0
2,2.0,1.0,3.0,5.0,4.0,7.0,6.0
2,2.0,6.0,4.0,1.0,3.0,5.0,7.0
2,2.0,5.0,3.0,4.0,1.0,7.0,6.0
2,2.0,5.0,1.0,7.0,4.0,3.0,6.0
2,2.0,1.0,5.0,7.0,4.0,3.0,6.0
2,2.0,5.0,1.0,7.0,6.0,4.0,3.0
2,2.0,5.0,1.0,6.0,3.0,7.0,4.0
2,2.0,1.0,6.0,4.0,7.0,5.0,3.0
2,2.0,6.0,3.0,5.0,1.0,4.0,7.0
2,2.0,1.0,7.0,3.0,5.0,4.0,6.0
2,2.0,1.0,5.0,4.0,6.0,3.0,7.0
2,2.0,1.0,3.0,7.0,4.0,5.0,6.0
2,2.0,6.0,5.0,7.0,1.0,3.0,4.0
2,2.0,4.0,5.0,7.0,3.0,6.0,1.0
2,2.0,6.0,3.0,7.0,4.0,5.0,1.0
2,2.0,5.0,1.0,3.0,7.0,6.0,4.0
2,2.0,5.0,6.0,1.0,4.0,3.0,7.0
2,2.0,3.0,6.0,7.0,5.0,4.0,1.0
2,2.0,3.0,1.0,4.0,5.0,7.0,6.0
2,2.0,6.0,1.0,3.0,5.0,4.0,7.0
2,2.0,5.0,6.0,3.0,1.0,4.0,7.0
2,2.0,5.0,1.0,4.0,6.0,7.0,3.0
2,2.0,3.0,5.0,4.0,6.0,1.0,7.0
2,2.0,3.0,1.0,7.0,6.0,4.0,5.0
2,2.0,1.0,5.0,7.0,6.0,4.0,3.0
2,2.0,4.0,3.0,7.0,5.0,6.0,1.0
2,2.0,5.0,1.0,6.0,4.0,7.0,3.0
2,2.0,6.0,1.0,7.0,4.0,5.0,3.0
2,2.0,5.0,1.0,3.0,6.0,4.0,7.0
2,2.0,4.0,5.0,7.0,3.0,6.0,1.0
2,2.0,1.0,4.0,5.0,3.0,6.0,7.0
2,2.0,1.0,6.0,4.0,7.0,5.0,3.0
2,2.0,3.0,1.0,5.0,6.0,4.0,7.0
2,2.0,3.0,4.0,6.0,5.0,7.0,1.0
2,2.0,6.0,4.0,1.0,7.0,5.0,3.0
2,2.0,5.0,3.0,1.0,4.0,7.0,6.0
2,2.0,5.0,3.0,1.0,6.0,4.0,7.0
2,2.0,1.0,5.0,6.0,7.0,4.0,3.0
2,2.0,1.0,3.0,4.0,6.0,7.0,5.0
2,2.0,5.0,4.0,1.0,7.0,6.0,3.0
2,2.0,1.0,5.0,3.0,4.0,6.0,7.0
2,2.0,5.0,6.0,1.0,7.0,4.0,3.0
2,2.0,4.0,5.0,1.0,3.0,6.0,7.0
2,2.0,6.0,1.0,3.0,7.0,4.0,5.0
2,2.0,1.0,4.0,3.0,7.0,5.0,6.0
2,2.0,5.0,1.0,7.0,6.0,4.0,3.0
2,2.0,1.0,4.0,3.0,7.0,6.0,5.0
2,2.0,4.0,5.0,3.0,6.0,7.0,1.0
2,2.0,3.0,5.0,7.0,1.0,4.0,6.0
2,2.0,6.0,4.0,3.0,7.0,5.0,1.0
2,2.0,5.0,1.0,4.0,7.0,6.0,3.0
2,2.0,1.0,3.0,4.0,6.0,5.0,7.0
2,2.0,4.0,3.0,1.0,7.0,6.0,5.0
2,2.0,3.0,1.0,6.0,7.0,5.0,4.0
2,2.0,5.0,6.0,3.0,4.0,7.0,1.0
2,2.0,6.0,1.0,4.0,3.0,5.0,7.0
2,2.0,1.0,4.0,3.0,7.0,6.0,5.0
2,2.0,6.0,4.0,7.0,5.0,1.0,3.0
2,2.0,3.0,1.0,6.0,7.0,4.0,5.0
2,2.0,7.0,5.0,3.0,1.0,4.0,6.0
2,2.0,3.0,6.0,7.0,1.0,4.0,5.0
2,2.0,4.0,3.0,6.0,1.0,5.0,7.0
2,2.0,6.0,5.0,4.0,1.0,3.0,7.0
2,2.0,3.0,6.0,5.0,7.0,1.0,4.0
2,2.0,5.0,4.0,7.0,6.0,1.0,3.0
2,2.0,5.0,3.0,1.0,6.0,4.0,7.0
2,2.0,5.0,1.0,3.0,7.0,4.0,6.0
2,2.0,4.0,1.0,6.0,7.0,5.0,3.0
2,2.0,5.0,7.0,4.0,3.0,1.0,6.0
2,2.0,5.0,1.0,7.0,6.0,3.0,4.0
2,2.0,5.0,3.0,6.0,7.0,4.0,1.0
2,2.0,5.0,3.0,4.0,1.0,6.0,7.0
2,2.0,5.0,4.0,6.0,3.0,1.0,7.0
2,2.0,7.0,6.0,3.0,5.0,4.0,1.0
2,2.0,1.0,4.0,5.0,7.0,3.0,6.0
2,2.0,5.0,1.0,3.0,7.0,6.0,4.0
2,2.0,5.0,3.0,1.0,4.0,7.0,6.0
